Name of State/UTs,District,Health Block,Type of Facility (Category),Name of Facility,Urban/Rural
Compiled,BALOD,,,,
Compiled,BALODA BAJAR,,,,
Compiled,BALRAMPUR,,,,
Compiled,BASTAR,,,,
Compiled,BEMETARA,,,,
Compiled,BIJAPUR,,,,
Compiled,BILASPUR,,,,
Compiled,DANTEWADA,,,,
Compiled,DHAMTARI,,,,
Compiled,DURG,,,,
Compiled,GARIYABANDH,,,,
Compiled,GPM,,,,
Compiled,JANJGIR,,,,
Compiled,JASHPUR,,,,
Compiled,KANKER,,,,
Compiled,KAWARDHA,,,,
Compiled,KCG,,,,
Compiled,KONDAGAON,,,,
Compiled,KORBA,,,,
Compiled,KORIA,,,,
Compiled,MAHASAMUND,,,,
Compiled,MCB,,,,
Compiled,MMA,,,,
Compiled,MUNGELI,,,,
Compiled,NARAYANPUR,,,,
Compiled,RAIGARH,,,,
Compiled,RAIPUR,,,,
Compiled,RAJNANDGAON,,,,
Compiled,SAKTI,,,,
Compiled,SARANGARH BILAIGARH,,,,
Compiled,SUKMA,,,,
Compiled,SURAJPUR,,,,
Compiled,SURGUJA,,,,
Kerala,Alappuzha,Ambalappuzha,CHC FORMAT,Ambalapuzha CHC,Rural
Kerala,Alappuzha,Notmapped,DH,General Hospital Alappuzha,Urban
Kerala,Alappuzha,Notmapped,DH,W and C Hospital Alappuzha,Urban
Kerala,Alappuzha,Ambalappuzha,MC,Medical College  Alappuzha,Rural
Kerala,Alappuzha,Aryad,PHC,Aryad PHC,Rural
Kerala,Alappuzha,Aryad,PHC,Kalavoor PHC,Rural
Kerala,Alappuzha,Aryad,PHC,Mannanchery PHC,Rural
Kerala,Alappuzha,Ambalappuzha,PHC,PHC Ambalapuzha NORTH,Rural
Kerala,Alappuzha,Ambalappuzha,PHC,Punnapra North PHC,Rural
Kerala,Alappuzha,Ambalappuzha,PHC,Punnapra south PHC,Rural
Kerala,Alappuzha,Ambalappuzha,PHC,Purakkad PHC,Rural
Kerala,Alappuzha,Ambalappuzha,PHC,Thottappally PHC,Rural
Kerala,Alappuzha,Notmapped,PHC,UFHC Thondankulangara,Urban
Kerala,Alappuzha,Notmapped,PHC,UPHC Mangalam,Urban
Kerala,Alappuzha,Ambalappuzha,PHC,UPHC Mullathuvalappu,Urban
Kerala,Alappuzha,Notmapped,PHC,UPHC Nehru Trophy,Urban
Kerala,Alappuzha,Aryad,SHC,FWC Aicka Bharatham,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Amayida,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Aravukadu,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Chalady,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Chempanthara,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Cheriyapozhy,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC ICDS Sub Centre Thottappally,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Kakkazham,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Kalarcode East,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Kalarcode ICDS,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Kalavoor,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Kalavoor New,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Kanjipadam,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Karumadi,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Karumadi,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Kattoor,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Kavunkal,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Komana,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Kuravanthode,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Main Centre Ambalapuzha,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Main Centre Aryad,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Main Centre Chettikad,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Main Centre Kalavoor,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Main Centre Mannanchery,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Main Centre PuraKkad,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Main Centre Thottappally,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Mannanchery,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Mararikulam South,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC MCH Sub Centre Thottappally,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Neerkunnam,Rural
Kerala,Alappuzha,Aryad,SHC,FWC North Aryad,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Paravoor East,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Paravoor ICDS,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Pathirappally,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Ponnadu,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Poomkavu,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Punnapra North,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Punnapra West,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Purakkad,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC S M C Settlement Colony,Rural
Kerala,Alappuzha,Aryad,SHC,FWC South Aryad,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Thumpoly,Rural
Kerala,Alappuzha,Ambalappuzha,SHC,FWC Valanjavazhy,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Valavanadu,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Virussery,Rural
Kerala,Alappuzha,Notmapped,SHC,UHWC Eravukadu,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Gurumandiram,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Kidangamparambu,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Pallathuruthy,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Poonthoppu,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Power House,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Valiyamaram,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Vazhicherry,Urban
Kerala,Alappuzha,Aryad,SDH,TH Chettikad,Rural
Kerala,Alappuzha,Mavelikkara,CHC,Mannar CHC,Rural
Kerala,Alappuzha,Chengannur,CHC,Pandanad CHC,Rural
Kerala,Alappuzha,Notmapped,DH,District Hospital Chengannur,Urban
Kerala,Alappuzha,Chengannur,PHC,Ala PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Budhanoor PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Cheriyanad PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Eramallikara PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Kadampoor PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Mulakuzha PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Puliyoor PHC,Rural
Kerala,Alappuzha,Chengannur,PHC,Venmony PHC,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Ala,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Cheriyanad North,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Cheriyanad South,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Elenjimel,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Ennakkad,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Illathumepuram,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Kallissery,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Karakkad,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC K karode,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Kozhuvalloor,Rural
Kerala,Alappuzha,Mavelikkara,SHC,FWC Kurathikad,Rural
Kerala,Alappuzha,Mavelikkara,SHC,FWC Kurattissery,Rural
Kerala,Alappuzha,Mavelikkara,SHC,FWC Kuttamperoor,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Budhanoor,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main centre cheriyyanad,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Eramallikara,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Kadampoor,Rural
Kerala,Alappuzha,Mavelikkara,SHC,FWC Main Centre Mannar,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Pandanad,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Puliyoor,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Main Centre Venmony,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Mandapariyaran,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Mannar East,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Mulakuzha,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Pandanad North,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Parackal,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Pennukara,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Perissery,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Piralassery,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Thiruvanvandoor,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Ulunthy,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Venmony East,Rural
Kerala,Alappuzha,Chengannur,SHC,FWC Venmony West,Rural
Kerala,Alappuzha,Notmapped,SHC,UHWC Edanadu,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Mangalam,Urban
Kerala,Alappuzha,Thycattussery,CHC,Arookutty CHC,Rural
Kerala,Alappuzha,Aryad,CHC,Muhamma CHC,Rural
Kerala,Alappuzha,Thycattussery,CHC,Perumbalam CHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,CHC,Thanneermukkom CHC,Rural
Kerala,Alappuzha,Thycattussery,CHC,Thycattussery CHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Aroor PHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,PHC,Cherthala South PHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Ezhupunna PHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,PHC,Kanjikuzhy PHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Kodamthuruth PHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,PHC,Mararikulam North PHC,Rural
Kerala,Alappuzha,Thycattussery,PHC,Pallipuram PHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Pallithode PHC,Rural
Kerala,Alappuzha,Thycattussery,PHC,Panavally PHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,PHC,PHC Kadakkarappally,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Thuravoor South PHC,Rural
Kerala,Alappuzha,Notmapped,PHC,UPHC Karuva,Urban
Kerala,Alappuzha,Pattanakkad,PHC,Vallethode PHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Vayalar PHC,Rural
Kerala,Alappuzha,Pattanakkad,PHC,Vettakkal PHC,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Aravakad,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Aroor Mukkom,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Aroor North,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Aroor South,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Arthungal,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Aryakara,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Ayiramthai,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Azheeckal,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Chammanadi,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Charamangalam,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Chavady,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Chennam Pallipuram,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Chennaveli,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Chennemana,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Cherthala South,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Cheruvaranam,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Chethi,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Eramalloor,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Ezhupunna,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Kadakarappally,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Kaipuram,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Kanjikuzhy,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Kodamthuruth,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Kokkothamangalam,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Kollappally,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Konattussery,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Kottapuram,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Kudapuram,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Kurupumkulangara,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Kuttanchal,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Main Center Arookutty,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Aroor,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Main Centre Cherthala South,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Ezhupunna,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Main Centre Kadakkarappally,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Main Centre Kanjikuzhy,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Kodamthuruth,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Main Centre Mararikulam North,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Main Centre Muhamma,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Main Centre Pallipuram,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Pallithode,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Main Centre Panavally,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Main Centre Perumbalam,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Main Centre Thanneermukkom,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Thuravoor,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Vallethode,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Vayalar,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Main Centre Vettakkal,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Makekadavu,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Manakodam,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Mararikulam North,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Mararikulam South,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Marthorvattom,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Mattathilbhagam,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Mayithara,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Muhamma North,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Muttathiparambu,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Nalpathenneswaram,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Nalukulangara,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Neelamangalam,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Olathala,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Ottamassery,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Pallithode,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Panakunnam,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Parayil,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Pattanakkad,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Pazhampallikavu,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Perumbalam North,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Perumbalam South,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Perumthuruth,Rural
Kerala,Alappuzha,Aryad,SHC,FWC Poojaveli,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Sargavedi,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Sastangal,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC S N Puram,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Sreekandamangalam,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC T D Bhagam,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Thaickal,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Thaliyaparambu,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Thanneermukkom,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Thanneermukkom North,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Thevaravattom,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Thirunalloor,Rural
Kerala,Alappuzha,Kanjikkuzhy,SHC,FWC Thiruvizha,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Thrichattukulam,Rural
Kerala,Alappuzha,Notmapped,SHC,FWC Thulamparampu,Urban
Kerala,Alappuzha,Pattanakkad,SHC,FWC Thuravoor Middle,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Thuravoor North,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Thuravoor South,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Thycattussery,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Ulavaippu,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Uzhuva,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Vattakeril,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Vayalar South,Rural
Kerala,Alappuzha,Thycattussery,SHC,FWC Vazhatharaveli,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Veluthully,Rural
Kerala,Alappuzha,Pattanakkad,SHC,FWC Vettakkal,Rural
Kerala,Alappuzha,Notmapped,SHC,UHWC Kurikkachira,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Sasthamkavala,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Velorvattom,Urban
Kerala,Alappuzha,Notmapped,SDH,THQH Cherthala,Urban
Kerala,Alappuzha,Pattanakkad,SDH,TH Thuravoor,Rural
Kerala,Alappuzha,Muthukulam,CHC,Muthukulam CHC,Rural
Kerala,Alappuzha,Harippad,CHC,Thrikkunnapuzha CHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Arattupuzha PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Cheppad PHC,Rural
Kerala,Alappuzha,Harippad,PHC,Cheruthana PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Chingoli PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Devikulangara PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,GFD Arattupuzha,Rural
Kerala,Alappuzha,Harippad,PHC,Govt. Fisheries Hospital Pallana,Rural
Kerala,Alappuzha,Notmapped,PHC,Haripad PHC,Urban
Kerala,Alappuzha,Muthukulam,PHC,Kandalloor PHC,Rural
Kerala,Alappuzha,Harippad,PHC,Karthikappally PHC,Rural
Kerala,Alappuzha,Harippad,PHC,Karuvata PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Krishnapuram PHC,Rural
Kerala,Alappuzha,Harippad,PHC,Kumarapuram PHC,Rural
Kerala,Alappuzha,Harippad,PHC,Pallipad PHC,Rural
Kerala,Alappuzha,Muthukulam,PHC,Pathiyoor PHC,Rural
Kerala,Alappuzha,Notmapped,PHC,UPHC Cheravally,Urban
Kerala,Alappuzha,Harippad,PHC,Veeyapuram PHC,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Arattupuzha North,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Arattupuzha South,Rural
Kerala,Alappuzha,Notmapped,SHC,FWC Asramam,Urban
Kerala,Alappuzha,Harippad,SHC,FWC Ayaparambu,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Chelakad,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Cheppad East,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Cheppad West Main Centre,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Cheruthana,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Chingoli,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Chooravila Main Centre,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Erikkavu,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Eruva East,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Eruva West,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kanakakkunnu,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kandalloor North,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kandalloor South,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kanichanalloor,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kanjoor,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Kannalipalam,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kappil Main Centre,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Karamuttel,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Karichal,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Karuvata,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Keerikkad,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Kochumuri,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Kottackakam,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Krishnapuram,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Kumarapuram Main Centre,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Madampil,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Mahadevikad,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Main Centre Arattupuzha,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Main Centre Cheruthana,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Main Centre Devikulangara,Rural
Kerala,Alappuzha,Notmapped,SHC,FWC Main Centre Haripad,Urban
Kerala,Alappuzha,Muthukulam,SHC,FWC Main Centre Kandalloor,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Main Centre Karthikappally,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Main Centre Karuvata,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Main Centre Muthukulam,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Main Centre Pathiyoor,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Main Centre Thrikunnapuzha,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Mangalam,Rural
Kerala,Alappuzha,Notmapped,SHC,FWC Mannarasala,Urban
Kerala,Alappuzha,Muthukulam,SHC,FWC Muringachira,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Muthukulam North,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Muthukulam South,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Naduvattom,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Nangiarkulangara,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Pallana,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Pallippad,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Panoor,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Pathiyankara,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Pathiyoor East,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Pathiyoor West,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Prayar North,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Pullikkanakku,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Puthuppally North,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Ramapuram,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Thamallackal,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Valiyaparampu,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Veeyapuram,Rural
Kerala,Alappuzha,Muthukulam,SHC,FWC Vettikulangara,Rural
Kerala,Alappuzha,Harippad,SHC,FWC Vettuveni,Rural
Kerala,Alappuzha,Notmapped,SHC,UHWC Ikya Junction,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC koyipallykarazhma,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Krishnapuram,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Mampara,Urban
Kerala,Alappuzha,Notmapped,SHC,UHWC Thulamparamb,Urban
Kerala,Alappuzha,Notmapped,SDH,THQH Haripad,Urban
Kerala,Alappuzha,Notmapped,SDH,THQH Kayamkulam,Urban
Kerala,Alappuzha,Champakulam,CHC,Champakulam CHC,Rural
Kerala,Alappuzha,Champakulam,CHC,Chempumpuram CHC,Rural
Kerala,Alappuzha,Champakulam,CHC,Edathua CHC,Rural
Kerala,Alappuzha,Veliyanad,CHC,Veliyanad CHC,Rural
Kerala,Alappuzha,Veliyanad,PHC,Kavalam PHC,Rural
Kerala,Alappuzha,Champakulam,PHC,Kuppappuram PHC,Rural
Kerala,Alappuzha,Veliyanad,PHC,Muttar PHC,Rural
Kerala,Alappuzha,Veliyanad,PHC,Neelamperoor PHC,Rural
Kerala,Alappuzha,Veliyanad,PHC,Ramankary PHC,Rural
Kerala,Alappuzha,Champakulam,PHC,Thakazhy PHC,Rural
Kerala,Alappuzha,Champakulam,PHC,Thalavady PHC,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Amichakary,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Anaparambil,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Attuvathala,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Ayiraveli,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Bhajanamadom,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Changamkary,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Chekkidikadu,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Chennamkary,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Cherukara,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Eara,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Edathua,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Kainakary,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Kandamkary,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Kannadi,Rural
Kerala,Alappuzha,Champakulam,SHC,FWC Karikuzhy,Rural
Kerala,Alappuzha,Veliyanad,SHC,FWC Kavalam,Rural
